单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
cur·tain	/ˈkɜːtən/	n. 窗帘	drape: draw a curtain	【词根】curt 'short' + -ain	
cush·ion	/ˈkʊʃən/	n. 坐垫	pillow: sofa cushion		
cus·tom	/ˈkʌstəm/	n. 习俗	tradition: social custom	【同】tradition 【联想】customer 顾客，customs 海关，accustom 使习惯	
cus·tom·er	/ˈkʌstəmər/	n. 顾客	client: satisfy a customer	【联想】custom 习俗	
customs	/ˈkʌstəmz/	n. 海关	border control: go through customs	【联想】custom 习俗	
cut	/kʌt/	v. (cut, cut) 切割	slice: cut a cake	【词组】cut something【词组】cut down 砍倒，cut off 切断，cut up 切碎	
cute	/kjuːt/	a. 可爱的	pretty: cute kitten	【同】pretty	
cy·cle	/ˈsaɪkəl/	n. 周期，循环 v. 骑自行车	repeating period: life cycle	【同】circle, ride a bike 【联想】cyclist 骑行者，bicycle 自行车【词根】cycl 'circle' + -e	
cy·clist	/ˈsaɪklɪst/	n. 骑自行车的人	biker: keen cyclist	【联想】cycle 自行车，bicycle 自行车【词根】cycl 'circle' + -ist	
dad	/dæd/	n. 爸爸	father: my dad	【联想】daddy 爸爸	
dad·dy	/ˈdædi/	n. 爸爸	papa: my daddy	【备注】儿童用语【联想】dad 爸爸	
dai·ly	/ˈdeɪli/	a. 每日的	everyday: daily newspaper	【联想】day 白天	
dam	/dæm/	n. 水坝	wall holding back water: build a dam	【同】wall holding back water 【联想】形近 damage 损坏	
dam·age	/ˈdæmɪdʒ/	vt. 损坏	harm: cause damage	【同】harm伤害 【联想】形近 dam 水坝【词根】damn 'loss' + -age	
damp	/dæmp/	a. 潮湿的	moist: damp clothes	【同】slightly wet	
dance	/dɑːns/	vi. 舞蹈	move rhythmically: dance to music	【联想】dancer 舞者	
dan·ger	/ˈdeɪndʒər/	n. 危险	peril: in danger	【反】safety. 【联想】dangerous 危险的【词根】dang 'danger' + -er	
dan·ger·ous	/ˈdeɪndʒərəs/	a. 危险的	unsafe: dangerous animal	【同】not safe 【反】safe 【联想】danger 危险【词根】dang 'danger' + -erous	
dare	/deər/	v. 敢于	venture: dare to do		
dark	/dɑːk/	a. 黑暗的	dim: in the dark	【同】not light 【反】light, bright 【联想】darkness 黑暗【词组】in the dark 在黑暗中	
dark·ness	/ˈdɑːknəs/	n. 黑暗	gloom: fear of darkness	【联想】dark 黑暗的【词根】dark 'dark' + -ness	
dash	/dæʃ/	vi. 冲刺	rush: dash forward	【同】RUSH, race, run	
da·ta	/ˈdeɪtə/	n. 数据	information: collect data	【联想】database 数据库【词根】dat 'give' + -a	
da·ta·base	/ˈdeɪtəbeɪs/	n. 数据库	databank: search a database	【联想】data 数据【词根】data 'data' + base 'base'	
date	/deɪt/	n. 日期 v. 约会	day: today's date	【词组】set a date	
daugh·ter	/ˈdɔːtər/	n. 女儿	female child: my daughter		
dawn	/dɔːn/	n. 黎明	first light: at dawn	【反】dusk黄昏 【联想】dusk 黄昏	
day	/deɪ/	n. 白天	daytime: every day	【联想】daily 每日的【词组】day by day 一天天，the day before yesterday 前天，all day 整天	
dead	/ded/	a. 死亡的	lifeless: dead leaves	【同】not alive 【反】alive 【联想】die 死亡，death 死亡	
dead·line	/ˈdedlaɪn/	n. 截止日期	due date: meet a deadline	【联想】dead 死的，line 线【词根】dead 'dead' + line 'line'	
deaf	/def/	a. 聋的	hearing-impaired: be deaf	【同】hearing-impaired	
deal	/diːl/	vi. (dealt, dealt) 交易	bargain: make a deal	【词组】deal with 处理	
dear	/dɪər/	a. 亲爱的 int. 哎呀	beloved: a dear friend	【例句】dear customer	
death	/deθ/	n. 死亡	demise: fear of death	【联想】die 死亡，dead 死亡的	
de·bate	/dɪˈbeɪt/	v. 辩论	discussion: hold a debate	【同】DISCUSSION【词根】de- 'down' + bate 'fight'	
debt	/det/	n. 债务	money owed: owe a debt	【词根】debt 'owe'	
dec·ade	/ˈdekeɪd/	n. 十年	ten years: last decade	【同】ten years【词根】dec 'ten' + -ade【联想】century 世纪，词根 dec 十	
De·cem·ber	/dɪˈsembər/	n. 十二月	Dec: in December	【同】Dec 【联想】月份词 January 一月，February 二月	
de·cide	/dɪˈsaɪd/	v. 决定	resolve: decide to do	【词组】decide to do【同】RESOLVE, determine, make up one's mind【联想】decision 决定【词根】de- 'down' + cid 'cut' + -e	
de·ci·sion	/dɪˈsɪʒən/	n. 决定	resolution: make a decision	【联想】decide 决定【词根】de- 'down' + cis 'cut' + -ion	
de·clare	/dɪˈkleər/	vt. 宣布	announce: declare war	【同】announce. declare war/independence 【联想】declaration 声明【词根】de- 'fully' + clare 'clear'	
de·cline	/dɪˈklaɪn/	vi. 下降	go down: decline in value	【同】go down 不及物动词. 拒绝【词根】de- 'down' + cline 'lean'【联想】反义 incline 倾斜	
dec·o·rate	/ˈdekəreɪt/	vt. 装饰	ornament: decorate a room	【同】ORNAMENT, adorn, trim, embellish, garnish, furnish 【词根】decor 'adorn' + -ate【联想】decoration 装饰	
dec·o·ra·tion	/ˌdekəˈreɪʃən/	n. 装饰	ornamentation: room decoration	【联想】decorate 装饰【词根】decor 'adorn' + -ation	
de·crease	/dɪˈkriːs/	v. 减少	lessen: decrease in number	【同】LESSEN, reduce, drop, diminish, decline, dwindle, fall off, die down, abate, subside, tail off, ebb, wane, plummet, plunge 【联想】反义 increase 增加【词根】de- 'down' + crease 'grow'【辨析】reduce 减少(人为)；decrease 减少(自然)	
deed	/diːd/	n. 行为	act: good deed		
deep	/diːp/	a. 深的	profound: deep in thought	【反】shallow 【联想】depth 深度	
deer	/dɪər/	n. (pl. deer) 鹿	wild animal: a herd of deer		
de·feat	/dɪˈfiːt/	vt. 战胜	beat: defeat an enemy	【同】BEAT, conquer, win against, triumph over 【反】victory 【联想】defeat 打败【词根】de- 'down' + feat 'do'【辨析】win 赢(接比赛)；beat/defeat 打败(接人)	
de·fence	/dɪˈfens/	n. 防御	protection: national defence	【备注】英式拼写【联想】defend 防卫【词根】de- 'away' + fence 'strike'	
de·fend	/dɪˈfend/	vt. 防卫	protect: defend a country	【同】PROTECT, guard, safeguard, secure, shield【反】attack, criticize 【联想】defence 防御【词根】de- 'away' + fend 'strike'	
de·fense	/dɪˈfens/	n. 防御	protection: national defense	【备注】defence 的美式拼写【联想】defend 防卫【词根】de- 'away' + fense 'strike'	
de·gree	/dɪˈɡriː/	n. 程度，学位	level: a high degree	【同】level, diploma【词根】de- 'down' + gree 'step'	
de·lay	/dɪˈleɪ/	v. & n. 延迟	postpone: without delay	【同】postpone, put off	
de·lete	/dɪˈliːt/	vt. 删除	remove: delete a file	【同】remove or erase (text)【词根】de- 'away' + lete 'erase'	
de·lib·er·ate·ly	/dɪˈlɪbərətli/	ad. 故意地	intentionally: deliberately do	【同】intentionally 【联想】deliberate 故意的【词根】de- 'fully' + liber 'weigh' + -ately	
del·i·cate	/ˈdelɪkət/	a. 精致的	fine: delicate flower	【同】fine. These silk dresses are very old and delicate【词根】delic 'delight' + -ate	
de·li·cious	/dɪˈlɪʃəs/	a. 美味的	tasty: delicious food	【词组】delicious food【词根】delic 'delight' + -ious	
de·light	/dɪˈlaɪt/	n. & v. 欢乐	pleasure: take delight in	【同】please 【联想】delightful 令人愉快的【词根】de- 'fully' + light 'light'	
de·light·ed	/dɪˈlaɪtɪd/	a. 高兴的	pleased: delighted to do	【同】PLEASED, glad, happy, thrilled 【联想】delight 高兴【词根】de- 'fully' + light 'light' + -ed	
de·liv·er	/dɪˈlɪvər/	vt. 递送	bring: deliver a speech	【同】BRING, take, convey, carry, transport, send, dispatch, remit 【联想】delivery 递送【词根】de- 'fully' + liver 'free'	
de·mand	/dɪˈmɑːnd/	vt. 需求	require: meet a demand	【同】CALL FOR, ask for, request, REQUIRE, need, necessitate【词根】de- 'fully' + mand 'order'	
den·tist	/ˈdentɪst/	n. 牙医	tooth doctor: see a dentist	【联想】tooth 牙齿，doctor 医生【词根】dent 'tooth' + -ist	
de·part·ment	/dɪˈpɑːtmənt/	n. 部门	division: government department	【备注】abbr. Dept.【联想】词根 depart 出发【词根】de- 'apart' + part 'part' + -ment	
de·par·ture	/dɪˈpɑːtʃər/	n. 离开	leaving: departure time	【同】LEAVING, going 【反】arrival 【联想】depart 出发【词根】de- 'away' + part 'part' + -ure	
de·pend	/dɪˈpend/	vi. 依赖	rely: depend on parents	【词组】depend on【同】rely (on)【联想】dependent 依赖的，independent 独立的【词根】de- 'down' + pend 'hang'	
de·pos·it	/dɪˈpɒzɪt/	n. & v. 存款；沉淀物	put: make a deposit	【词根】de- 'down' + posit 'place'【同】savings, sediment	
Dept.	/dɪˈpɑːtmənt/	n. 部门	division: the sales dept.	【备注】缩写【联想】全写 department 部门	
depth	/depθ/	n. 深度	deepness: measure the depth	【联想】deep 深的【词根】deep 'deep'	
de·scribe	/dɪˈskraɪb/	vt. 描述	report: describe a scene	【同】REPORT, recount, relate 【词根】de- 'down' + scribe 'write'【联想】description 描述	
de·scrip·tion	/dɪˈskrɪpʃən/	n. 描述	depiction: give a description	【联想】describe 描述【词根】de- 'down' + script 'write' + -ion	
des·ert	/ˈdezət/	n. 沙漠	dry wasteland: desert landscape	【联想】形近 dessert 甜点【词根】de- 'away' + sert 'join'	
de·serve	/dɪˈzɜːv/	vt. 应得；值得	merit: deserve praise	【词根】de- 'fully' + serve 'serve'	
de·sign	/dɪˈzaɪn/	v. 设计	plan: design a house	【词根】de- 'fully' + sign 'mark'【联想】designer 设计师	
de·sire	/dɪˈzaɪər/	n. 愿望	wish: have a desire	【同】wish 【联想】desirable 可取的【词根】de- 'down' + sir 'star'	
desk	/desk/	n. 书桌	table: sit at a desk	【同】table	
des·per·ate	/ˈdespərət/	a. 绝望的	hopeless: desperate situation	【同】hopeless.【词组】be desperate for something【词根】de- 'down' + sper 'hope' + -ate【联想】despair 绝望	
des·sert	/dɪˈzɜːt/	n. 甜点	sweet course: eat dessert	【联想】形近 desert 沙漠	
des·ti·na·tion	/ˌdestɪˈneɪʃən/	n. 目的地	final place: reach a destination	【词根】de- 'fully' + stin 'stand' + -ation	
de·stroy	/dɪˈstrɔɪ/	vt. 毁灭	ruin: destroy a building	【同】ruin, SPOIL, wreck, DEMOLISH, knock down 【联想】destruction 毁灭【词根】de- 'away' + stroy 'build'	
de·tec·tive	/dɪˈtektɪv/	n. 侦探	investigator: hire a detective	【联想】detect 察觉【词根】de- 'away' + tect 'cover' + -ive	
de·ter·mine	/dɪˈtɜːmɪn/	v. 决定	decide: determine to do	【同】decide 【联想】determination 决心【词根】de- 'fully' + termin 'boundary' + -e	
de·vel·op	/dɪˈveləp/	v. 发展	grow: develop a plan	【同】GROW, expand, spread 【联想】development 发展【词根】de- 'away' + velop 'wrap'	
de·vel·op·ment	/dɪˈveləpmənt/	n. 发展	evolution: economic development	【同】EVOLUTION, growth 【联想】develop 发展【词根】de- 'away' + velop 'wrap' + -ment	
de·vote	/dɪˈvəʊt/	vt. 投入，献给	dedicate: devote oneself to	【例句】He devoted most of his life to scientific research.【联想】devotion 奉献【词根】de- 'fully' + vot 'vow'	
de·vo·tion	/dɪˈvəʊʃən/	n. 忠诚	loyalty: show devotion	【联想】devote 奉献【词根】de- 'fully' + vot 'vow' + -ion	
di·a·gram	/ˈdaɪəɡræm/	n. 图表	chart: draw a diagram	【联想】graph 图表，grammar 语法，词根 gram 写【词根】dia- 'through' + gram 'write'	
dial	/ˈdaɪəl/	n. & v. 拨号盘；拨号	dial; call: dial a number	【同】PHONE, telephone, call, ring	
dialog	/ˈdaɪəlɒɡ/	n. 对话	conversation: have a dialog	【备注】美式拼写【联想】dialogue 对话【词根】dia- 'through' + log 'speak'	
di·a·logue	/ˈdaɪəlɒɡ/	n. 对话	conversation: a dialogue between friends	【备注】英式拼写【联想】dialog 对话【词根】dia- 'through' + logue 'speak'	
di·a·mond	/ˈdaɪəmənd/	n. 钻石	gem: diamond ring		
di·a·ry	/ˈdaɪəri/	n. 日记	journal: keep a diary	【同】journal	
dic·ta·tion	/dɪkˈteɪʃən/	n. 听写	dictated text: take dictation	【联想】dictate 听写【词根】dict 'say' + -ation	
dic·tion·a·ry	/ˈdɪkʃənəri/	n. 字典	lexicon: look up in a dictionary	【联想】dictation 听写，词根 dict 说【词根】dict 'say' + -ionary	
die	/daɪ/	vi. 死亡	perish: die of illness	【联想】death 死亡，dead 死亡的【词组】die of 死于，die from 死于，die out 灭绝	
di·et	/ˈdaɪət/	n. 饮食	food control: go on a diet		
dif·fer	/ˈdɪfər/	vi. 不同	be unlike: differ from	【同】be different 【联想】difference 差异，different 不同的【词根】dif- 'apart' + fer 'carry'	
dif·fe·rence	/ˈdɪfərəns/	n. 差异	distinction: make a difference	【联想】differ 不同，different 不同的【词根】dif- 'apart' + fer 'carry' + -ence	
dif·fe·rent	/ˈdɪfərənt/	a. 不同的	diverse: different from	【词组】different from【同】various, diverse, distinct【反】same, similar【联想】differ 不同，difference 差异【词根】dif- 'apart' + fer 'carry' + -ent【辨析】different 不同(from)；various 多样	
dif·fi·cult	/ˈdɪfɪkəlt/	a. 困难的	hard: a difficult task	【同】hard, challenging, tough 【反】easy 【联想】difficulty 困难【词根】dif- 'not' + ficil 'easy' + -t	
dif·fi·cul·ty	/ˈdɪfɪkəlti/	n. 困难	hardship: have difficulty	【联想】difficult 困难的【词根】dif- 'not' + ficil 'easy' + -ty	
dig	/dɪɡ/	v. (dug, dug) 挖掘	excavate: dig a hole	【词组】dig a hole	
di·gest	/daɪˈdʒest/	v. 消化	break down food: digest food	【同】ASSIMILATE, absorb, take in 【联想】digestion 消化【词根】di- 'apart' + gest 'carry'	
di·gi·tal	/ˈdɪdʒɪtəl/	a. 数字的	numeric: digital camera	【联想】digit 数字【词根】digit 'finger' + -al	
dig·ni·ty	/ˈdɪɡnəti/	n. 尊严	self-respect: sense of dignity	【联想】dignified 有尊严的【词根】dign 'worthy' + -ity	
di·lem·ma	/daɪˈlemə/	n. 两难境地	difficult choice: be in a dilemma	【词根】di- 'two' + lemma 'proposition'【同】difficult choice	
di·men·sion	/ˌdaɪˈmenʃən/	n. 维度	measurement: three dimensions	【词根】di- 'apart' + mens 'measure' + -ion【联想】measure 测量，size 尺寸	
dining room	/ˈdaɪnɪŋ ruːm/	n. 餐厅	room for meals: in the dining room	【联想】dine 进餐	
din·ner	/ˈdɪnər/	n. 晚餐	supper: have dinner	【联想】dining 就餐，supper 晚餐	
di·no·saur	/ˈdaɪnəsɔːr/	n. 恐龙	extinct reptile: huge dinosaur		
di·ox·ide	/daɪˈɒksaɪd/	n. 二氧化物	compound with oxygen: carbon dioxide	【同】compound with oxygen 【联想】oxide 氧化物【词根】di- 'two' + oxide 'oxide'	
dip	/dɪp/	vt. 浸渍，蘸	immerse briefly: dip a pen	【同】put something into liquid briefly	
di·plo·ma	/dɪˈpləʊmə/	n. 文凭	certificate: get a diploma	【词根】di- 'two' + plo 'fold' + -ma	
di·rect	/daɪˈrekt/	a. 直接的	straight: direct a movie	【联想】direction 方向，director 导演【词根】di- 'apart' + rect 'straight'	
di·rec·tion	/daɪˈrekʃən/	n. 方向	way: in all directions	【联想】direct 指导【词根】di- 'apart' + rect 'straight' + -ion	
di·rec·tor	/daɪˈrektər/	n. 导演	film maker: film director	【联想】direct 指导【词根】di- 'apart' + rect 'straight' + -or	
di·rec·to·ry	/dɪˈrektəri/	n. 目录	list: phone directory	【联想】词根 direct 指导【词根】di- 'apart' + rect 'straight' + -ory	
dirt	/dɜːt/	n. 灰尘，泥土	dust; soil: remove dirt	【同】dust, mud, soil 【联想】dirty 脏的	
dirt·y	/ˈdɜːti/	a. 脏的	unclean: dirty clothes	【反】clean 【联想】dirt 灰尘，泥土	
dis·a·bil·i·ty	/ˌdɪsəˈbɪləti/	n. 残疾	handicap: physical disability	【联想】able 有能力的，disable 使残废【词根】dis- 'not' + ability 'ability'	
dis·a·bled	/dɪˈseɪbəld/	a. 有残疾的	handicapped: disabled person	【联想】able 有能力的，disable 使残废【词根】dis- 'not' + able 'able' + -ed	
dis·ad·van·tage	/ˌdɪsədˈvɑːntɪdʒ/	n. 劣势	drawback: put at a disadvantage	【同】DRAWBACK 【联想】反义 advantage 优势【词根】dis- 'not' + advantage 'advantage'	
dis·a·gree	/ˌdɪsəˈɡriː/	vi. 不同意，不一致	oppose: disagree with	【同】contradict, oppose【联想】反义 agree 同意【词根】dis- 'not' + agree 'agree'	
dis·a·gree·ment	/ˌdɪsəˈɡriːmənt/	n. 分歧	dispute: have a disagreement	【联想】disagree 不同意【词根】dis- 'not' + agreement 'agreement'	
dis·ap·pear	/ˌdɪsəˈpɪər/	vi. 消失	vanish: disappear from sight	【联想】反义 appear 出现【词根】dis- 'not' + appear 'appear'	
dis·ap·point	/ˌdɪsəˈpɔɪnt/	vt. 使失望	let down: disappoint the team	【同】LET DOWN【联想】disappointed 失望的，disappointment 失望【词根】dis- 'not' + appoint 'appoint'	
dis·ap·point·ed	/ˌdɪsəˈpɔɪntɪd/	a. 失望的；沮丧的	let down; dejected: feel disappointed	【联想】disappoint 使失望【词根】dis- 'not' + appoint 'appoint' + -ed	
dis·ap·point·ment	/ˌdɪsəˈpɔɪntmənt/	n. 失望	letdown: express disappointment	【联想】disappoint 使失望【词根】dis- 'not' + appoint 'appoint' + -ment	
di·sas·ter	/dɪˈzɑːstər/	n. 灾难	catastrophe: natural disaster	【联想】disastrous 灾难性的【词根】dis- 'not' + aster 'star'	
disc	/dɪsk/	n. 磁盘	disk: compact disc	【联想】disk 光盘	
dis·count	/ˈdɪskaʊnt/	n. 折扣	rebate: get a discount	【联想】词根 count 数【词根】dis- 'apart' + count 'count'	
dis·cour·age	/dɪˈskʌrɪdʒ/	vt. 使沮丧；阻止	dispirit; deter: discourage someone	【反】encourage 【同】dispirit, deter 【联想】反义 encourage 鼓励【词根】dis- 'not' + courage 'courage'	
dis·cov·er	/dɪˈskʌvər/	vt. 发现	find: discover a new place	【同】find 【联想】discovery 发现，cover 覆盖【词根】dis- 'away' + cover 'cover'【辨析】invent 发明(新事物)；discover 发现(已存在)	
dis·cov·e·ry	/dɪˈskʌvəri/	n. 发现	finding: make a discovery	【同】finding 【联想】discover 发现【词根】dis- 'away' + cover 'cover' + -y	
di·scrim·i·nate	/dɪˈskrɪmɪneɪt/	vi. 歧视	bias against: discriminate against	【联想】discrimination 歧视【词根】dis- 'apart' + crimin 'distinguish' + -ate	
di·scrim·i·na·tion	/dɪˌskrɪmɪˈneɪʃən/	n. 歧视	prejudice: racial discrimination	【同】PREJUDICE, bias 【联想】discriminate 歧视【词根】dis- 'apart' + crimin 'distinguish' + -ation	
di·scuss	/dɪˈskʌs/	vt. 讨论	talk about: discuss a problem	【同】talk about 【联想】discussion 讨论【词根】dis- 'apart' + cuss 'strike'	
di·scus·sion	/dɪˈskʌʃən/	n. 讨论	debate: have a discussion	【联想】discuss 讨论【词根】dis- 'apart' + cuss 'strike' + -ion	
dis·ease	/dɪˈziːz/	n. 疾病	illness: catch a disease	【同】ILLNESS, sickness 【联想】词根 dis-+ease，ease 安逸【词根】dis- 'not' + ease 'ease'	
dis·gust·ing	/dɪsˈɡʌstɪŋ/	a. 令人厌恶的，令人作呕的	revolting: disgusting smell	【联想】disgust 厌恶【词根】dis- 'not' + gust 'taste' + -ing	
dish	/dɪʃ/	n. 盘子	plate: wash the dishes	【同】BOWL, plate	
disk	/dɪsk/	n. 磁盘	disc: save to a disk	【备注】美式英语，英式英语为 disc【联想】disc 光盘	
dis·like	/dɪˈslaɪk/	vt. 不喜欢	hate: dislike doing	【同】hate, detest, loathe, abhor, despise 【联想】反义 like 喜欢【词根】dis- 'not' + like 'like'	
dis·miss	/dɪˈsmɪs/	vt. 解雇	fire: dismiss a worker	【同】send away【词根】dis- 'away' + miss 'send'【联想】dismissal 解雇	
dis·tance	/ˈdɪstəns/	n. 距离	gap: long distance	【联想】distant 遥远的【词根】dis- 'apart' + st 'stand' + -ance	
dis·tant	/ˈdɪstənt/	a. 遥远的	far away: distant place	【同】far away 【联想】distance 距离【词根】dis- 'apart' + st 'stand' + -ant	
dis·tinc·tion	/dɪˈstɪŋkʃən/	n. 区别；差别	difference: make a distinction	【联想】distinct 明显的【词根】dis- 'apart' + stinct 'prick' + -ion	
dis·tin·guish	/dɪˈstɪŋɡwɪʃ/	v. 区分	differentiate: distinguish between	【同】tell the difference between 【联想】distinction 区别【词根】dis- 'apart' + stingu 'prick' + -ish	
dis·trib·ute	/dɪˈstrɪbjuːt/	vt. 分发	give out: distribute goods	【同】give out 【联想】distribution 分配【词根】dis- 'apart' + tribut 'give' + -e	
dis·trict	/ˈdɪstrɪkt/	n. 区域	area: city district	【同】area, region【词根】dis- 'apart' + strict 'draw'	
dis·turb	/dɪˈstɜːb/	vt. 打扰	bother: disturb someone	【联想】disturbance 干扰【词根】dis- 'apart' + turb 'stir'	
dis·turb·ing	/dɪˈstɜːbɪŋ/	a. 扰乱的	troubling: disturbing news	【联想】disturb 打扰【词根】dis- 'apart' + turb 'stir' + -ing	
dive	/daɪv/	vi. 潜水	submerge: go for a dive	【联想】diver 潜水员	
di·verse	/daɪˈvɜːs/	a. 多样的	various: diverse cultures	【同】various, different。【词根】di- 'apart' + vers 'turn' + -e【联想】diversity 多样性	
di·vide	/dɪˈvaɪd/	vt. 分割	split: divide into groups	【同】SPLIT, SEPARATE。【词根】di- 'apart' + vid 'divide' + -e【联想】division 分割【辨析】split 裂开；divide 划分	
di·vi·sion	/dɪˈvɪʒən/	n. 分割	separation: mathematical division	【联想】divide 分开【词根】di- 'apart' + vis 'divide' + -ion	
di·vorce	/dɪˈvɔːs/	n. & v. 离婚	end of marriage: get a divorce	【反】marriage, unity 【联想】反义 marriage 婚姻【词根】di- 'apart' + vorce 'turn'	
diz·zy	/ˈdɪzi/	a. 眩晕的	giddy: feel dizzy		
do	/də/	v. (did, done) 做	perform: do homework	【辨析】make 制作；do 做	
doc·tor	/ˈdɒktər/	n. 医生	physician: see a doctor	【同】surgeon, specialist, Dentist 【联想】名词 Dr 医生，physician 内科医生	
doc·u·ment	/ˈdɒkjəmənt/	n. 文件	written record: important document	【联想】documentary 纪录片【词根】doc 'teach' + -ument	
dog	/dɒɡ/	n. 狗	canine: pet dog		
doll	/dɒl/	n. 玩偶	toy: pretty doll	【同】toy	
dol·lar	/ˈdɒlər/	n. 美元	US currency: ten dollars		
don't	/dəʊnt/	v. 不做	do not: don't smoke	【备注】do not 的缩写【联想】do not	
do·nate	/dəʊˈneɪt/	v. 捐赠	give: donate money	【联想】donation 捐赠	
door	/dɔːr/	n. 门	doorway: open the door		
dorm	/dɔːm/	n. 宿舍	dormitory: live in a dorm	【备注】非正式【联想】全写 dormitory 宿舍	
dor·mi·to·ry	/ˈdɔːmɪtəri/	n. 宿舍，集体宿舍	sleeping room: live in a dormitory	【联想】缩写 dorm 宿舍	
dot	/dɒt/	n. 点	small spot: a black dot		
doub·le	/ˈdʌbəl/	a. 双倍的	twofold: double the amount	【联想】twice 两次，反义 single 单一的【词根】doub 'two' + -le	
doubt	/daʊt/	vt. n. 怀疑	uncertainty: have a doubt	【同】UNCERTAINTY 【联想】doubtful 怀疑的【词根】doubt 'hesitate'	
down	/daʊn/	ad. 向下	downward: go down	【联想】downstairs 楼下，downtown 市中心	
down·load	/ˌdaʊnˈləʊd/	vt. 下载	transfer: download a file	【联想】load 装载，upload 上传	
down·side	/ˈdaʊnsaɪd/	n. 缺点	drawback: the downside of	【联想】down 向下，side 面	
down·stairs	/ˌdaʊnˈsteəz/	ad. 楼下	to a lower floor: go downstairs	【联想】down 向下，stairs 楼梯	
down·town	/ˌdaʊnˈtaʊn/	n. 市中心	city center: downtown area	【联想】down 向下，town 城镇	
doz·en	/ˈdʌzən/	n. 一打	twelve: a dozen eggs	【词根】doz 'twelve' + -en	
Dr	/ˈdɒktər/	n. 医生，博士	physician; phd: see Dr. Smith	【备注】Doctor 的缩写【同】physician, PhD【联想】全写 doctor 医生	
draft	/drɑːft/	n. 草稿	rough version: make a draft	【词根】draft 'draw'	
drag	/dræɡ/	vt. 拖拽	pull: drag a box	【同】pull. • He dragged the table over to the window 【联想】形近 draw 画	
draw	/drɔː/	v. (drew, drawn) 画	sketch: draw a picture	【联想】drawing 图画，drawer 抽屉【词根】draw 'pull'	
draw·back	/ˈdrɔːbæk/	n. 缺点；不利条件	disadvantage: a major drawback	【联想】draw 拉，back 背部	
drawer	/drɔːr/	n. 抽屉	sliding box: open a drawer	【联想】draw 画【词根】draw 'pull' + -er	
draw·ing	/ˈdrɔːɪŋ/	n. 绘画	sketch: draw a drawing	【同】SKETCH, picture 【联想】draw 画	
dream	/driːm/	n. (dreamed or dreamt) 梦，梦想	sleep vision: have a dream	【词组】dream of 梦想，dream about 梦见	
dress	/dres/	n. 连衣裙	put on clothes: dress up	【联想】形近 address 地址，undress 脱衣	
drill	/drɪl/	n. 钻子 v.钻孔	make a hole with a drill: do a drill	【同】make a hole with a drill	
drink	/drɪŋk/	v. (drank, drunk) 喝 n. 饮料	take in liquid: drink water	【同】beverage 【联想】drank 喝，drunk 喝醉	
drive	/draɪv/	v. (drove, driven) 驾驶	operate a vehicle: drive a car	【联想】driver 司机，drove 驾驶	
driv·er	/ˈdraɪvər/	n. 司机	vehicle operator: taxi driver	【联想】drive 驾驶	
drop	/drɒp/	v. 掉下	let fall: drop a ball	【同】LET FALL	
drown	/draʊn/	v. 淹死，溺水	die in water: drown in water	【同】die, kill	
drug	/drʌɡ/	n. 药物	medicine: take drugs	【同】MEDICINE, medication, medicament, remedy, cure, antidote	
drum	/drʌm/	n. 鼓	percussion instrument: play the drum		
drunk	/drʌŋk/	a. 醉的	intoxicated: get drunk	【联想】drink 喝	
dry	/draɪ/	a. 干燥的	not wet: dry the clothes	【同】not wet 【反】wet 【联想】drier 更干，反义 wet 湿的	
duck	/dʌk/	n. 鸭子	water bird: roast duck		
due	/dʒuː/	a. 应付的，预期的	owed: due to	【词组】due to【同】because of, owing, expected	
dull	/dʌl/	a. 枯燥的	boring: dull day	【同】boring, tedious	
dump·ling	/ˈdʌmplɪŋ/	n. 饺子	boiled dough: eat dumplings		
dur·ing	/ˈdʒʊərɪŋ/	prep. 在…期间	throughout: during the day	【词根】dur 'last' + -ing	
dusk	/dʌsk/	n. 黄昏	twilight: at dusk	【反】dawn黎明 【联想】dawn 黎明	
dust	/dʌst/	n. 灰尘	dirt: remove dust	【同】dirt 【联想】dusty 积满灰尘的	
dust·bin	/ˈdʌstbɪn/	n. 垃圾桶	trash can: use a dustbin	【同】garbage can, trashcan 【联想】dust 灰尘，bin 垃圾箱	
dust·y	/ˈdʌsti/	a. 积满灰尘的	dirty: dusty room	【同】DIRTY 【联想】dust 灰尘	
du·ty	/ˈdʒuːti/	n. 责任	responsibility: do one’s duty	【同】responsibility	
dy·nam·ic	/daɪˈnæmɪk/	a. 动态的	energetic: dynamic performance	【同】ENERGETIC, spirited, active, lively。【词根】dynam 'power' + -ic	
dyn·a·sty	/ˈdɪnəsti/	n. 朝代	ruling family: ancient dynasty	【词根】dyna 'power' + -sty	
each	/iːtʃ/	pron. 每个	every: each other	【同】every	
ea·ger	/ˈiːɡər/	a. 渴望的；热切的	keen: be eager to do sth.	【同】keen.【词组】be eager to 【联想】eagerness 渴望【词根】eager 'sharp'	
ea·gle	/ˈiːɡəl/	n. 鹰	bird of prey: a golden eagle		
ear	/ɪər/	n. 耳朵	hearing organ: an ear of corn	【联想】hear 听见	
ear·ly	/ˈɜːli/	a. 早的	ahead of time: get up early	【反】late	
earn	/ɜːn/	vt. 赚得	make money: earn a living	【词组】earn money, earn a living【同】make, gain, bring in【联想】earnings 收入【词根】earn 'reap'	
